,CH,IT,DE,ES,AT,SE,UK,FR,CZ,PL,BE,NO
16,1647.2432708239144,1198.2353909745088,455.33779446469634,718.6305777075827,621.6532336988804,2493.9353745049666,418.50033880359194,1882.9345066695487,77.49831553227094,272.7203656268954,50.70401449819729,11803.027588551902
17,1648.535770393981,1192.479793368768,459.78865687645816,717.8875692889793,622.8288827629358,2492.723904282332,418.43590419575213,1880.6337999124144,77.99923083213777,276.78326959941035,50.85116889156795,11764.878512646683
18,1650.3629574762158,1187.3253963726634,462.65735391205976,717.279115005665,624.4225650665283,2491.6532217190816,418.37000654913277,1878.5891354836995,78.39708556382826,279.64077049446513,50.77422851452894,11730.213888860795
19,1655.460122529239,1182.6962248369057,466.72633286687403,716.8401986042547,627.5890854067987,2490.5926400756102,418.30287324263105,1877.4907960310222,79.58151411625215,283.46451402340995,50.844037485974795,11699.737486769143
20,1660.9810145570382,1178.4745792350773,469.75021697546595,716.3692870744622,631.0045543209802,2489.5422488450245,418.2417641621074,1875.9979714136134,80.66287892226985,286.30772251288,50.95005822760881,11671.680916280384
21,1667.4967520377393,1174.6194728142937,470.47054641171377,716.0414827194289,634.7937655405079,2488.505775610538,418.18069319816556,1875.0006355777643,81.08760408543877,288.7969401714015,51.01866605248103,11646.616064468866
22,1673.8481661434887,1171.1185932859094,469.2378394750408,715.7786286754272,638.4446643499498,2487.52020569737,418.1118696995531,1874.039737943817,80.67241119119231,290.41672170241753,51.01056497388538,11623.644677363049
23,1678.795596026316,1167.9819357040674,465.9182789906882,715.6644114702021,640.4820691939623,2486.594789427615,418.0498580224538,1873.4450979895687,79.6240288286289,290.95380881897313,50.833791656272226,11602.822302819828
24,1682.4064075385072,1165.2108538074303,461.89092620107505,715.5658900301318,641.472980569472,2485.718527064681,417.989374310692,1872.936476416426,78.43943205730977,290.57297255851097,50.63271353535942,11583.68581865624
25,1685.3610120272313,1162.7993290102797,457.78520173435777,715.543533941943,642.1079631920054,2484.865832086538,417.9257494123519,1872.6929210750768,77.27890716251156,288.9960565453341,50.441312763793206,11566.219489842555
26,1687.9824335570634,1160.5003358236117,453.66103894659585,715.5419229830193,643.2017232148019,2484.0696636128346,417.86226457586207,1872.5686424250941,76.14810359730589,287.2882217439162,50.26609619921891,11550.041791581956
27,1689.777273937297,1158.2440087652703,449.4541121098079,715.6543120774351,643.2514714104627,2483.3159232526914,417.7968999297983,1872.4261651038678,75.0374791639977,285.60054088134734,50.11355483154311,11535.215867833176
28,1690.115188783764,1156.1229205557747,445.21558195422944,715.7266747931562,642.5279818228933,2482.595642850419,417.7379464295803,1872.114231303462,73.9910504545904,283.73378618581796,49.96366667387069,11521.561134411706
