,CH,IT,DE,ES,AT,SE,UK,FR,CZ,PL,BE,NO
5948,1287.1262936850749,918.2052801064403,40.99291549978225,219.42962873424023,1014.6569523986091,4194.604833898048,132.22747166600757,629.8744286805753,40.641804496588364,219.15372604935084,1.043236945305143,17977.33012893795
5949,1296.5826234259025,930.9874570862528,41.24465211533749,219.4815218432534,1019.1362598377169,4182.321849083746,132.51323588129804,630.8548453738042,40.54142768582526,218.97471697938735,1.042695547767836,17986.574373663687
5950,1305.557148138411,942.0737716426625,41.427804623163944,219.79730958166923,1022.3453047673869,4172.92375276913,132.81603908555127,632.1208747657412,40.51005697699033,218.6867175526943,1.0422200318194823,17993.909755045774
5951,1314.1177926110217,951.8585036183104,41.537539757193784,219.8700260237801,1024.352376325659,4160.738374938379,133.14012361332848,633.2243313104235,40.51552130417518,218.56390940172722,1.0417445158711287,18000.726707820748
5952,1322.3857302462377,961.1281669201735,41.59140220253459,219.9819455291922,1024.881755401172,4147.327661399611,133.4186525886753,634.2916509914957,40.52316595225966,218.25443387508471,1.0412775172819964,18011.55262064342
5953,1329.9728439052083,969.1143547762076,41.62518321570928,220.21559594498723,1024.9840580666819,4128.445302855474,133.6317622488745,635.4409524506907,40.53543160507304,217.76093535155474,1.04082243260873,18022.85961818447
5954,1336.0989366579947,975.4237159322684,41.6404637691207,220.44615270577518,1025.4157216230014,4098.656320400985,133.8182102551349,636.398915686763,40.54855335589207,217.053348504948,1.0403665192157443,18037.702528232257
5955,1340.7112548990967,980.3658971354208,41.64625513664039,220.6402157406837,1025.6325557892687,4054.9038339415083,133.91463861118697,637.3022503099855,40.57727209650953,216.45447511851236,1.0399106058227583,18051.285126472016
5956,1344.3074915303853,985.8152805681102,41.639945448138135,220.74743951109363,1025.7891725041777,3997.471927763525,134.0607735689536,638.5734657364964,40.56468264724491,215.3906669122204,1.03942376421394,18059.421214618993
5957,1348.017426355921,991.4080067784828,41.63246395175159,221.11867600028708,1025.9159171798858,3955.5923332552293,134.24025946341487,640.5622259139393,40.546876887428866,214.60795916218038,1.0388935613798922,18061.447508365956
5958,1351.5735113590497,997.4614983302239,41.6340524518989,221.41010993615131,1026.4266407748148,3917.1105024154713,134.3914559815665,642.3793385971929,40.486663118387725,213.41957509605845,1.0384076052487898,18052.258023744325
5959,1357.3820122010993,1009.6644373438269,41.67358809550332,221.40503244659934,1026.978790111792,3911.201557451147,134.31014377809686,642.8473616961434,40.58501532097895,212.94267891578497,1.0379216491176877,18055.2096477998
5960,1364.718413383947,1023.3968930043595,41.73032415682779,221.45218259866104,1027.9601307846895,3911.769014607183,134.12163748806375,643.2827939558605,40.70796249500766,212.43409665703038,1.037436888355063,18060.42192503315
5961,1373.754237162945,1038.455600272273,41.80878586783555,221.6448263145752,1029.4153144686506,3914.746005343719,134.03402389266338,643.6749485861676,40.85612108247747,211.61301717200772,1.0369872826595259,18069.457460732316
5962,1382.833592781098,1052.6591923658564,41.87535736137357,222.0133753445629,1030.2796950590189,3918.307075418038,134.03441498313435,644.2924534556041,40.84475331087812,210.34168494794278,1.0365495397439448,18079.718972721996
5963,1391.5785735546765,1063.6611590026175,42.00714221327808,222.23705072084869,1032.549436652252,3922.4656219642593,134.00124248047922,644.8141111143156,40.83534885359389,208.96939277314078,1.0360862367003778,18092.32180470976
5964,1400.809784996882,1070.50826264345,42.188805364566804,222.27973991371005,1034.5260123410465,3926.136638013025,134.1214428672684,645.2028413685332,40.828666008375045,207.1717492369795,1.0356183587770862,18100.70156134219
5965,1408.4702622156337,1070.8565428461725,42.3782566403917,221.73857578053494,1036.1962125797916,3929.65551503925,134.32319576056477,643.745644577107,40.828475155179106,206.54974206300955,1.0351907723171727,18104.883782468205
5966,1411.033919441719,1067.5909814958177,42.298652819514054,219.9441197149423,1032.8621795430824,3932.736502314562,134.53370334921135,636.1209211545554,40.78171214471881,205.41508937648192,1.0348320749749338,18113.62413716159
5967,1413.3855396745503,1066.837509563768,42.16844198435109,216.98589293809366,1029.6242511304708,3935.635173487224,134.71521662001842,627.5471926789099,40.409696152644706,204.4423886468118,1.03450344107464,18125.655880350878
5968,1414.8054428023709,1069.999618122979,42.069688436088555,214.67146389776374,1025.905594090079,3937.210839448286,134.9272596691327,621.678627036345,40.251489100115,203.46723222928551,1.0342229171013546,18140.941504784838
5969,1417.2282734527848,1073.1562659700971,42.06839550914002,213.70683589737723,1025.8294406374712,3937.9799248368945,135.08627276664362,620.1041771786731,40.234752892607396,203.20476078959908,1.033894529042436,18137.040740832796
5970,1419.0818997816043,1075.8620367354526,42.08325069528551,213.49496150975327,1026.4827581473642,3938.4478301363984,135.28587104764995,619.6887216585607,40.248274584628135,202.9346826836426,1.0334800016828352,18112.763897317494
5971,1424.5016055614951,1077.83409120927,42.266013152037175,213.2942594107643,1031.2331914253891,3938.68783580664,135.36506339346226,619.7762574918544,40.25569476459126,202.69693528445734,1.0334055188199638,18101.584281540843
5972,1429.408166381903,1079.1568192859831,42.4542736111285,213.33063396078538,1034.7703335161466,3938.6098492062292,135.42583372548503,620.0437256764237,40.272248490722575,202.75132994627208,1.0333991522713002,18073.056322632234
5973,1433.2395927623018,1080.0310176478422,42.66799644462607,213.31647455192984,1038.8078540661122,3938.5826554112837,135.40801577353687,620.2890483535484,40.29426099266054,202.8271585933785,1.0335172685239484,18041.19305707616
5974,1436.2271411411482,1079.82560266439,42.87662982602112,213.29898312923922,1042.6895125171193,3938.1111941939685,135.40745654785343,620.2311971270485,40.32865334149296,202.73185788939293,1.0337884704171214,17987.310779164734
