zone,hour,value
FR,274,22667.010751571503
FR,275,5697.95354981652
FR,276,9712.121334700001
FR,277,9468.212651571499
FR,278,5908.368334700004
FR,279,9307.238263571506
FR,280,29466.1940515715
FR,281,35728.9481740715
FR,282,45958.7793347
FR,283,45372.1134515715
FR,284,31066.4426467
FR,285,35808.3803347
FR,286,35896.8893347
FR,287,36574.2373347
FR,288,19441.8036467
FR,289,30945.633334700004
FR,290,29666.1023347
FR,291,26842.089334700002
FR,292,17175.9956467
FR,293,28652.247334699998
FR,294,34777.8623347
FR,295,32687.835646700005
FR,296,28832.864675775963
FR,297,33951.62075157149
FR,298,23566.068051571492
FR,299,18024.049451571504
FR,300,3866.4746466999986
FR,301,18171.244334699993
FR,302,20781.364334700003
FR,303,25497.2403347
FR,304,33462.3453347
FR,305,40440.5293347
FR,306,35898.810646699996
FR,307,44728.3512515715
FR,308,39726.2426515715
FR,309,26028.7038635715
FR,310,21018.4928635715
FR,311,36354.6946515715
FR,312,33608.522151571495
FR,313,30929.1706515715
FR,314,20009.505646700003
FR,315,26347.150334699996
FR,316,25444.597334699996
FR,317,27933.500334700002
FR,318,19486.799646700005
FR,319,41979.452751571494
FR,320,44382.627334699995
FR,321,31472.1776467
FR,322,24636.3653635715
FR,323,22154.5552740715
FR,324,19628.284751571504
FR,325,8681.094646699996
FR,326,20642.3063347
FR,327,11708.938663571504
FR,328,34727.1553347
FR,329,40964.0983347
FR,330,45760.902334700004
FR,331,36778.3986467
FR,332,41380.7953347
FR,333,36236.445551571494
FR,334,35743.61005157149
FR,335,21551.308646700003
FR,336,33004.2423347
FR,337,30730.1073347
FR,338,29462.5453347
FR,339,17747.6036467
FR,340,25646.849334700004
FR,341,27998.3013347
FR,342,25035.030646700005
FR,343,26151.0616467
FR,344,42649.5389515715
FR,345,37843.1673515715
FR,346,31704.8261515715
FR,347,18595.261763571507
FR,348,23493.6343347
FR,349,23361.533351571507
FR,350,25067.544351571498
FR,351,14726.893763571503
FR,352,35071.3759515715
FR,353,42005.7238515715
FR,354,45999.8223515715
FR,355,36356.10956357151
FR,356,40636.4401515715
FR,357,35837.0373347
FR,358,21608.748646700005
FR,359,22410.045646700004
FR,360,34024.402334700004
FR,361,31691.339334700002
FR,362,30403.764334699998
FR,363,18572.941646700005
FR,364,22885.5043572
FR,365,28808.161334700002
FR,366,35791.7489515715
FR,367,28657.7606467
FR,368,45033.5383347
FR,369,42663.5183347
FR,370,39141.6203347
FR,371,25274.5506467
FR,372,30898.773334700003
FR,373,29130.2593347
FR,374,21351.1146467
FR,375,18104.259646700004
FR,376,38258.9693347
BE,377,424.6778290759603
FR,377,42417.2163347
BE,378,537.5838290759611
FR,378,46379.05833470001
FR,379,37071.252646700006
BE,380,28.857758082900887
FR,380,42272.6353347
BE,381,123.1204290759606
FR,381,38680.1403347
FR,382,38909.9183347
BE,383,337.0833311937873
FR,383,26188.5676467
FR,384,37540.1613347
FR,385,35224.0833347
FR,386,33627.9763515715
FR,387,21926.7101635715
FR,388,29741.328251571496
FR,389,30898.342951571496
FR,390,24465.481963571503
FR,391,22389.939646700004
FR,392,39140.5543347
FR,393,36048.43360850906
FR,394,27800.076334700003
FR,395,20718.127334699995
FR,396,2145.6766467000034
FR,397,12581.503334699999
FR,398,12343.078334699996
FR,399,16964.8423347
FR,400,26680.9543347
FR,401,36120.410858825315
FR,402,41808.37347213803
FR,403,33566.587363571496
FR,404,31152.4161635715
FR,405,37359.893951571496
FR,406,38093.53343340151
FR,407,37446.971357200004
FR,408,24445.661563571506
FR,409,36141.4997515715
FR,410,34275.4109515715
FR,411,30739.702251571503
FR,412,19869.965063571504
FR,413,29132.087751571496
FR,414,29922.294334699996
FR,415,31497.349351571498
FR,416,17915.0163635715
FR,417,19414.5368635715
FR,418,20889.218334699995
FR,419,8600.374334699998
FR,420,12444.2043347
FR,421,2916.6536467000024
FR,422,5941.513646700005
FR,423,21904.459751571503
FR,424,30223.241334699997
BE,425,1024.4176290759597
FR,425,36364.5543347
BE,426,1507.5971290759599
FR,426,42195.9503347
BE,427,1111.604029075962
FR,427,34899.759646700004
BE,428,629.0450290759609
FR,428,41669.8003347
BE,429,1055.5052168715001
FR,429,38815.5353347
FR,430,39398.8363347
FR,431,26464.7506467
FR,432,38450.1513347
FR,433,36494.3723347
FR,434,35676.3143347
FR,435,23964.156463571504
FR,436,32342.320051571503
FR,437,35645.2473347
BE,438,1553.2082168715015
FR,438,41919.6413347
BE,439,1705.9690290759618
FR,439,34280.0806467
BE,440,3234.0894168715013
FR,440,50819.9163347
BE,441,1685.5520290759605
FR,441,47131.309334699996
BE,442,383.5494290759607
FR,442,32453.9856467
FR,443,27394.9536467
FR,444,32634.757951571497
FR,445,32342.5563347
BE,446,1288.4524168715006
FR,446,35228.5913347
BE,447,1459.9055290759616
FR,447,25302.0146467
BE,448,2296.9023290759606
FR,448,45941.6133347
BE,449,3113.2396290759616
FR,449,51529.690334700004
BE,450,3368.246129075961
FR,450,52409.4393572
BE,451,2455.816916871502
FR,451,47166.2236467
BE,452,2209.048229075962
FR,452,51479.94133469999
BE,453,1527.0917290759598
FR,453,46969.2233347
BE,454,1774.68892907596
FR,454,41828.203334699996
BE,455,1794.4083290759618
FR,455,33515.93864670001
FR,456,44946.52833469999
BE,457,1534.9046168715004
FR,457,42879.6593347
BE,458,305.09382907595955
FR,458,41578.4223347
BE,459,968.9828168715003
FR,459,29740.759646700004
FR,460,37631.0183347
BE,461,1392.1553168715009
FR,461,39996.8983347
BE,462,1616.0602290759607
FR,462,37137.9976467
BE,463,2581.69742907596
FR,463,37984.32864670001
BE,464,2472.6660168715
FR,464,53695.0763347
BE,465,1458.5265290759608
FR,465,47645.8823347
FR,466,38799.847334699996
FR,467,20845.3816467
FR,468,25997.154334699997
FR,469,25600.366334699997
FR,470,28707.4713347
FR,471,21498.9490635715
BE,472,1298.1771290759616
FR,472,44938.349334700004
BE,473,2498.25992907596
FR,473,51253.89933470001
BE,474,2706.2674290759614
FR,474,56258.77833469999
BE,475,2118.248429075961
FR,475,47292.1896467
BE,476,47.06702907595991
FR,476,51630.228334700005
BE,477,1556.1133168715014
FR,477,46917.79333470001
BE,478,1202.3086772933862
FR,478,46828.641334700005
FR,479,33112.657646700005
BE,480,864.6647168715017
FR,480,44657.91833470001
FR,481,43446.6473347
FR,482,33702.6296467
FR,483,30522.9316635715
FR,484,38882.283851571505
BE,485,209.83601687150076
FR,485,41888.2133347
BE,486,1294.0005168715006
FR,486,47505.270334700006
BE,487,1324.044229075961
FR,487,38956.820646700005
BE,488,1616.4144290759605
FR,488,54989.5143347
BE,489,1879.275916871501
FR,489,46224.88535719999
BE,490,205.60231687149826
FR,490,41740.4693347
FR,491,25024.924646699998
FR,492,30947.4583347
FR,493,30599.029334699997
FR,494,33519.8163347
FR,495,25109.6809635715
BE,496,736.5546168715
FR,496,46522.2983347
BE,497,2409.067629075961
FR,497,52151.2163347
BE,498,2759.923229075962
FR,498,56512.213334700005
BE,499,2363.2867290759614
FR,499,47343.81764670001
BE,500,466.1212290759604
FR,500,51777.323334700006
BE,501,2192.851516871501
